order_id,order_item_id,product_id,item_created_at,item_status,sale_price,cost,category,department,brand,product_name,order_status,order_created_at,shipped_at,delivered_at,user_id,gender,country,state,city
19425,28112,6983,2023-01-01 06:18:03+00:00,Shipped,29.5,16.047999992966652,Shorts,Women,Fox,Fox Juniors Momentum Short,Shipped,2022-12-29 10:00:00+00:00,2022-12-30 11:29:00+00:00,,15644,F,France,Centre-Val de Loire,Corquilleroy
19425,28113,10597,2023-01-01 06:44:58+00:00,Shipped,20.0,10.0,Intimates,Women,Wacoal,Wacoal Women's B-Smooth Bralette,Shipped,2022-12-29 10:00:00+00:00,2022-12-30 11:29:00+00:00,,15644,F,France,Centre-Val de Loire,Corquilleroy
4710,6730,11792,2023-01-03 04:44:50+00:00,Complete,38.0,18.46799998357892,Intimates,Women,American Apparel,American Apparel Striped Chiffon Tank,Complete,2023-01-03 08:12:00+00:00,2023-01-03 09:14:00+00:00,2023-01-04 03:03:00+00:00,3853,F,France,Île-de-France,Paris
16618,24006,329,2023-01-03 15:13:39+00:00,Complete,27.989999771118164,16.402139843352735,Tops & Tees,Women,Tri-Mountain,Tri-Mountain Women's 3/4-Sleeve Pique Knit Polo Shirt. 601,Complete,2023-01-03 18:58:00+00:00,2023-01-05 13:23:00+00:00,2023-01-09 10:25:00+00:00,13422,F,France,Hauts-de-France,Comines
4710,6731,5295,2023-01-05 06:43:09+00:00,Complete,56.880001068115234,29.57760052999258,Pants & Capris,Women,Lauren by Ralph Lauren,Lauren Ralph Lauren Velour Pants,Complete,2023-01-03 08:12:00+00:00,2023-01-03 09:14:00+00:00,2023-01-04 03:03:00+00:00,3853,F,France,Île-de-France,Paris
46318,67305,7623,2023-01-06 12:11:40+00:00,Processing,119.0,49.980000212788575,Blazers & Jackets,Women,Ulla Popken,Ulla Popken Plus Size Mosaic Burnout Silk Velvet Tunic,Processing,2023-01-06 13:47:00+00:00,,,37166,F,France,Normandie,Le Havre
40644,58981,5553,2023-01-08 07:08:05+00:00,Complete,49.9900016784668,26.04479086032793,Pants & Capris,Women,Sutton Studio,Sutton Studio Womens Zipper Front Ponte Trouser Pants Misses,Complete,2023-01-08 08:55:00+00:00,2023-01-10 07:35:00+00:00,2023-01-10 14:42:00+00:00,32624,F,France,Île-de-France,Paris
81077,117743,3348,2023-01-13 09:41:25+00:00,Returned,92.5,43.38249987456948,Dresses,Women,Adrianna Papell,Adrianna Papell Women's Blouson Top Dress,Returned,2023-01-13 10:55:00+00:00,2023-01-15 13:12:00+00:00,2023-01-17 07:02:00+00:00,64803,F,France,Occitanie,Frontignan
79203,114996,8076,2023-01-13 11:10:02+00:00,Cancelled,109.98999786376952,64.56412888042897,Suits,Women,Jessica London,Jessica London Plus Size Two-Piece Skirt Set,Cancelled,2023-01-12 13:21:00+00:00,,,63351,F,France,Nouvelle-Aquitaine,Agen
86807,126120,7536,2023-01-13 13:14:05+00:00,Shipped,77.4000015258789,31.347000854417686,Blazers & Jackets,Women,eloquii,eloquii Banded Mod Jacket,Shipped,2023-01-13 13:42:00+00:00,2023-01-15 20:20:00+00:00,,69327,F,France,Nouvelle-Aquitaine,Niort
99378,144356,14541,2023-01-14 04:43:55+00:00,Processing,24.979999542236328,10.841319833528548,Maternity,Women,Motherhood Maternity,Motherhood Maternity: Padded Cup Underwire Full Coverage Nursing Bra,Processing,2023-01-14 06:00:00+00:00,,,79440,F,France,Nouvelle-Aquitaine,Arcangues
79203,114997,4764,2023-01-14 13:16:35+00:00,Cancelled,34.900001525878906,18.63660078179613,Jeans,Women,Lee,Lee Women's Plus-Size Slender Secret Asher Bootcut Jean,Cancelled,2023-01-12 13:21:00+00:00,,,63351,F,France,Nouvelle-Aquitaine,Agen
43938,63830,12734,2023-01-15 09:48:02+00:00,Complete,48.0,17.904000163078308,Swim,Women,ECHO,Echo Design Women's Loco Stripe Short Caftan,Complete,2023-01-15 09:56:00+00:00,2023-01-16 10:03:00+00:00,2023-01-20 11:43:00+00:00,35277,F,France,Nouvelle-Aquitaine,Pau
122373,177781,3761,2023-01-15 10:54:50+00:00,Processing,90.0,38.78999998793006,Dresses,Women,BB Dakota,BB Dakota Juniors Pedrina,Processing,2023-01-13 12:56:00+00:00,,,97832,F,France,Normandie,Honfleur
60126,87320,7646,2023-01-15 17:39:37+00:00,Cancelled,24.989999771118164,8.696519949394762,Blazers & Jackets,Women,Hot from Hollywood,3/4 Sleeve Cropped Knit Illusion Pocket Button Up Business Casual Blazer S M L,Cancelled,2023-01-15 18:22:00+00:00,,,48139,F,France,Auvergne-Rhône-Alpes,Saint-Maurice-de-Gourdans
3676,5250,2506,2023-01-16 10:37:00+00:00,Complete,15.989999771118164,6.539909935932755,Active,Women,SmartWool,Smartwool Women's Snow Swirl Sock,Complete,2023-01-15 12:38:00+00:00,2023-01-15 12:47:00+00:00,2023-01-20 07:21:00+00:00,3025,F,France,Nouvelle-Aquitaine,Saintes
117152,170201,6460,2023-01-16 11:01:44+00:00,Shipped,25.0,12.02500001527369,Shorts,Women,Sam & Lavi,Sam & Lavi Women's Addison Lace Short,Shipped,2023-01-14 11:28:00+00:00,2023-01-16 08:38:00+00:00,,93675,F,France,Auvergne-Rhône-Alpes,Rillieux-la-Pape
